id,username,date,text,hashtags,geo
901453270513852418,o0FlanK0o,2017-08-26 14:36:22+00:00,I got jokes! #hurricaneharvey #hurricane #harvey #power #netflix #jokes #goodmorningpost… https://www.instagram.com/p/BYQrV5snyeV/,#hurricaneharvey #hurricane #harvey #power #netflix #jokes #goodmorningpost,
901452452976893952,starr_whitee,2017-08-26 14:33:07+00:00,Catch me gettin stranded at BAM today (-: HURRICANE HARVEY WHO? @Books-A-Million Katy https://www.instagram.com/p/BYQq-FrHL7Q/,,
901451972124999680,itzmeyvonne,2017-08-26 14:31:12+00:00,"Make sure you are prepared, I hope everyone is safe and okay. #hurricanharvey #hurricane #harvey… https://www.instagram.com/p/BYQqwSUBjvK/",#hurricanharvey #hurricane #harvey,
901451640745709569,ToneeTones,2017-08-26 14:29:53+00:00,Headed to work this morning be SAFE GUYS! Godspeed in this Hurricane season #kotd… https://www.instagram.com/p/BYQql5nB7PG/,#kotd,
901451197327998976,guttulus,2017-08-26 14:28:08+00:00,My foster dog attempts to escape during hurricane Harvey. #dog #dogs #l4l #ff #houston #pet… https://www.instagram.com/p/BYQqV3PHPWZ/,#dog #dogs #l4l #ff #houston #pet,
901448301123436544,erugby74,2017-08-26 14:16:37+00:00,Hurricane Harvey update (Days 13 - Day 15)! Good week! Able to workout every day but Friday.… https://www.instagram.com/p/BYQpFYjBWA_/,,
901428494982303744,laurin_lindsey,2017-08-26 12:57:55+00:00,Quiet Saturday morning 8am. #streetlights on! #harvey #dirtyside #hurricane #dark #wet #rainy… https://www.instagram.com/p/BYQgBazFpz9/,#streetlights #harvey #dirtyside #hurricane #dark #wet #rainy,
901422202700021760,L_Gilley,2017-08-26 12:32:55+00:00,"How we start Hurricane coverage! #dogdays #newsfix @Cw 39 Newsfix Houston, Texas https://www.instagram.com/p/BYQdNxOhfiI/",#dogdays #newsfix,
901411200889753600,ChileeChills,2017-08-26 11:49:12+00:00,Hurricane and tornado warnings all over the airwaves here. Keep us in your prayers guys. Thanks.… https://www.instagram.com/p/BYQYNeEgpQ7/,,
901406210175492096,JBARH,2017-08-26 11:29:22+00:00,"Don't look directly at the #hurricane. #harvey @Cypress, Texas https://www.instagram.com/p/BYQV8REDycN/",#hurricane #harvey,
901369772356587520,LuRCefalo,2017-08-26 09:04:35+00:00,"Hurricane Harvey @7:40am what is to come of this Hurricane! #hurricaneharvey2017 @Atascocita,… https://www.instagram.com/p/BYQFX6FBORc/",#hurricaneharvey2017,
901368771700510727,BLifeWestU,2017-08-26 09:00:36+00:00,Rice football players check on status of Hurricane Harvey http://bubly.us/aHzh,,
901364221866381313,BLifeAftonOaks,2017-08-26 08:42:31+00:00,Take a hurricane cue from Coldplay: Keep calm and eat lots of pizza http://bubly.us/aHys,,
901352292372291585,greenwaybarista,2017-08-26 07:55:07+00:00,"Hurricane flavored ""Harvey"" #doughnuts for @morningstarhou because @barlos84 and I were dumb… https://www.instagram.com/p/BYP9a6Ng0L3/",#doughnuts,
901339553386115072,JCLove78,2017-08-26 07:04:30+00:00,"Some macro photos of rain drops during hurricane Harvey in Richmond, Texas. #hurricane… https://www.instagram.com/p/BYP3oeNAC95/",#hurricane,
901338967534174208,JCLove78,2017-08-26 07:02:10+00:00,"**Weather Update** Harvey is dropping some heavy rain in Richmond, Texas. #hurricane… https://www.instagram.com/p/BYP3XZEA8wL/",#hurricane,
901332745988710401,sadaf_afshan,2017-08-26 06:37:27+00:00,Please keep Texas in your prayers as we brace for Hurricane Harvey #texas #hurricane #harvey @… https://www.instagram.com/p/BYP0iXlBX3C/,#texas #hurricane #harvey,
901330303557533696,jonestrainer,2017-08-26 06:27:44+00:00,"#texasturnup #birthday #hurricane party #relax @Houston, Texas https://www.instagram.com/p/BYPzbQJl1to/",#texasturnup #birthday #hurricane #relax,
901326845240541184,YorktownDQ,2017-08-26 06:14:00+00:00,Forget about HURRICANE HARVEY! You should be more worried about the BLIZZARDS! #hurricane… https://www.instagram.com/p/BYPx2tsBWnq/,#hurricane,
901322236883292160,BLifeRiverOaks,2017-08-26 05:55:41+00:00,Hurricane Harvey forces shutdown of Camp Logan centennial events http://bubly.us/aHuO,,
901321478670618628,BLifeMemorial,2017-08-26 05:52:40+00:00,Hurricane Harvey forces shutdown of Camp Logan centennial events http://bubly.us/aHuH,,
901318889522507776,MrWiredUpOhBoy,2017-08-26 05:42:23+00:00,"This damn Hurricane got me in the house having a damn party like this... @Houston, Texas https://www.instagram.com/p/BYPuOdnDNBH/",,
901318122598039552,foleymovies2015,2017-08-26 05:39:20+00:00,#photooftheday #hurricane #harvey #all #over #southeast #texas #i #lived in #houston #many… https://www.instagram.com/p/BYPt4VWjVNh/,#photooftheday #hurricane #harvey #all #over #southeast #texas #i #lived #houston #many,
901316998830927872,newdaybigsub,2017-08-26 05:34:52+00:00,HURRICANE HAIR HURRICANE HAIR THIS IS WHAT WE DO #NEWDAYBIGSUB #YOREYS #BARBERSHOP #BARBER… https://www.instagram.com/p/BYPtWkaAvsX/,#NEWDAYBIGSUB #YOREYS #BARBERSHOP #BARBER,
